instruction,output,financial_score,word_count
Advice on replacing my savings account,"Liquid cash (emergency, rainy day fund) should be safe from a loss in value.  Mutual funds don't give you this, especially stock funds.  You can find ""high yield"" savings accounts that are now at around .8% to .9% APY which is much better than .05% and will hopefully go up.  Barclays US and American Express are two big banks that normally have the highest rates. Most/all Savings and Money Market accounts should be FDIC insured.  Mutual funds are not, though the investment IRA, etc. holding them may be.",11,94
Is losing money in my 401K normal?,"It is absolutely normal for your investments to go down at times. If you pull money out whenever your investments decrease in value, you lock in the losses.  It is better to do a bit of research and come up with some sort of strategy about how you will manage your investments.  One such strategy is to choose a target asset allocation (or let the ""target date"" fund choose it for you) and never sell until you need the money for retirement.  Some would advocate various other strategies that involve timing the market.  The important thing is that you find a strategy that you can live with and that provides you with enough confidence that you won't buy and sell at random.  Acting on gut feelings and selling whenever you feel queasy will likely lead to worse outcomes in the long run.",11,149
Why is the stock market price for a share always higher than the earnings per share?,"First, the earnings are per year, not per quarter.  Why would you expect to get a 100% per year return on your money? The earnings can go one of two ways. They can be retained, reinvested in the company, or they can be distributed as a dividend. So, the 'return' on this share is just over 5%, which is competitive with the rate you'd get on fixed investments. It's higher, in fact, as there's the risk that comes with holding the stock.",11,98
Did basically all mutual funds have a significant crash in 2008?,"In 2008, the S&P was down 37%.  I love charts that show sector performance by year, as it helps show that 2008 wasn't like the crash of 2000-01 which was more tech-centric. Funds that were more geared towards bonds would have been up as the 10 year Treasury was up 20%.  I understand you have a low risk tolerance. Over the long term, this will cost you. The CAGR for the S&P from 1928-2011 was 9.23%, for treasuries, 5.14%. This difference adds up dramatically over time. These rates double your stock investments every 8 years on average vs nearly 14 years for bonds.  See the MoneyChimp site to tinker with start/finish years to understand long term returns.",11,128
Abundance of Cash - What should I do?,"Since your 401k/IRA are maxed out and you don't need a 529 for kids, the next step is a plain ol' ""Taxable account."" The easiest and most hassle-free would be automatic contributions into a Mutual Fund.  Building on poolie's answer, I think mutual funds are much more automatic/hassle-free than ETFs, so in your case (and with your savings rate), just invest in the Investor (or Admiral) shares of VEU and VTI. Other hassle-free options include I-Bonds ($5k/year), and 5-year CDs.",11,88
Is a car loan bad debt?,"Just to argue the other side, 1.49% is pretty low for a loan. Let's say you have the $15k cash but decide to get the car loan at 1.49%. Then you take the rest of the money and invest it in something that pays a ~4% dividend (a utility stock, etc.). You're making money on the difference. Of course, there's no guarantee that the underlying stock won't drop in value, but it might go up, too. And you'll likely pay income tax on the dividends. Still, you have a good chance of making money by taking the loan. So I will argue that there are scenarios where taking advantage of a low interest rate loan can be ""good"" as an investment opportunity when the risk/reward is acceptable. Be careful, though. There's nothing wrong with paying cash for a car!",11,145
Shouldn't a Roth IRA accumulate more than 1 cent of interest per month?,"Unfortunately for investors, returns for equity-based investments are not linear - you'll see (semi-random) rises and dips as you look at the charted per-share price.  Without knowing what the investments are in the target date retirement fund that you've invested in, you could see a wide range of returns (including losses!) for any given period of time. However, over the long term (usually 10+ years), you'll see the ""average"" return for your fund as your gains and losses accumulate/compound over that period.",11,95
What are good Monthly Income Funds? [Canada],"@sharam - big question.  I am going to answer part of it, but not as directly as you might like. You mention 4-6 cents per unit per month, but fail to give a unit price, so it is hard to tell how much return you are really looking for. Given the amount you have to invest, depending on your time horizon, you will do much better outside of mutual funds.  Many funds in this category have fees in the 2% range.  You actually have enough money to have a diversified portfolio on your own, without recourse to funds. If you want to use a fund-like product, I encourage you to look at well established ETFs (Exchange Traded Funds).  They are basically like mutual funds that trade on the open stock market.  One good example in this category is iShares XDV Good Luck",11,149
How to invest for the event of a US default?,"Lots of opportunities during threats to US debt demand. Most just involve being short the S&P or long the VIX (or short treasury bond futures, or short a US dollar currency pair). Those are the opportunities. And if you are worried about the utility of speculating in US dollars on a decline of the US dollar, then it is easy enough to hop out of the FEDwire network into a cryptocurrency network these days - either as a value transfer protocol to another currency in lieu of capital controls, or a speculative investment, or both. Enjoy!",11,106
Why is gold not a good investment?,"Gold since the ancient time ( at least when it was founded) has kept its value. for example the french franc currency was considered valuable in the years 1400~ but in 1641 lost its value. However who owned Gold back then still got value.  The advantage of having gold is you can convert it to cash easily in the world. it hedges against inflation: it is value rise when inflation happend. Gold has no income,no earnings. its not like a stock or a bond. its an alternative way to store value the Disadvantages of investing in Gold  Gold doesnt return income , needs physical storage and insurance, Capital gains tax rates are higher on most gold investments. the best way to invest gold when there is inflation is expected. source",11,137
What are the different types of investments I can make for wealth management?,"Investing involves deploying capital (money) toward projects or activities that are expected to generate a positive return over time.The type of returns generated depends on the type of project or asset; real estate can produce both rents and capital gains; many stocks pay quarterly dividends; bonds tend to pay regular interest. In investing, risk and return are two sides of the same coin; low risk generally means low expected returns, while higher returns are usually accompanied by higher risk. Investors can take the do-it-yourself approach or employ the services of a professional money manager. Whether buying a security qualifies as investing or speculation depends on three factors—the amount of risk taken, the holding period, and the source of returns.",11,132
"Explain the term ""capital gains tax""","Capital gains taxes are taxes levied on the profits from the sale of assets such as stocks, bonds, real estate and other investments. Capital gains are calculated as the difference between the purchase price and the sale price, and the rate of taxation is determined by the individual's income tax bracket. In the case of long-term investments, the IRS classifies profits that are held for more than one year as long-term capital gains and are taxed at a lower rate than short-term gains.",11,89
How does a portfolio of long stocks and short futures generate profits,"I know some derivative markets work like this, so maybe similar with futures.  A futures contract commits two parties to a buy/sell of the underlying securities, but with a futures contract you also create leverage because generally the margin you post on your futures contract is not sufficient to pay for the collateral in the underlying contract. The person buying the future is essentially ""borrowing"" money while the person selling the future is essentially ""lending"" money. The future you enter into is generally a short term contract, so a perfectly hedged lender of funds should expect to receive something that approaches the fed funds rate in the US. Today that would be essentially nothing.",11,126
When a Company was expected and then made a profit of X $ then that X$ increased it's share price. or those the Sellers and Buyers [duplicate],"There are a few reason why share prices increase or decrease, the foremost is expectation of the investors that the company/economy will do well/not well, that is expectation of profit/intrinsic value growth over some time frame (1-4 qtrs.)there is also demand & supply mismatch over (usually) short time. If you really see, the actual 'value' of a company is it's net-worth (cash+asset+stock in trade+brand value+other intangibles+other incomes)/no of shares outstanding, which (in a way) is the book value, then all shares should trade at their book value, the actual number but it does not, the expectation of investors that a share would be purchased by another investor at a higher price because the outlook of the company over a long time is good.",11,150
What's behind the long secular bull market in U.S. Treasuries?,"In a secular bull market, strong investor sentiment drives prices higher, as participants, over time, are net buyers. Secular markets are typically driven by large-scale national and   worldwide events... demographic/ population shifts,   governmental policies... bear market periods occur within   the longer interval, but do not reverse the trend. There are still many reasons to buy the long bond, despite the lack of yield (nearly flat term structure of interest rates). Despite the recent credit ratings agency downgrades of U.S. sovereign risk, the T-bond offers greater relative security than many alternatives.  If Germany were NOT part of the EU, its government bonds would be issued by the Bundesbank, denominated in Deutsche Marks. German government bonds would probably be a better choice than the U.S. Treasury's 30-year bond.  Long-term maturity U.S. Treasuries are in demand by investment and portfolio managers because:",11,149
"Please explain the relationship between dividend amount, stock price, and option value?","The exchanges artificially push the price of the stock down on the ex-div date. Often the impact of paying the dividend is absorbed by the ebb and flow of trading in the stock later in the day by the market. I think this was noticable with Nokia because the company is in poor shape and the stock has plunged recently.  Dividends are a great way for companies to return value to shareholders. The trend for many companies, particularly growth stocks is to reinvest profits to grow the company. Former growth stocks like Microsoft like to just sit on billions of dollars and do nothing with it.",11,118
Savings account with fixed interest or not?,"As observed above, 1.5% for 3 years is not attractive, and since due to the risk profile the stock market also needs to be excluded, there seems about 2 primary ways, viz: fixed income bonds and commodity(e,g, gold). However, since local bonds (gilt or corporate) are sensitive and follow the central bank interest rates, you could look out investing in overseas bonds (usually through a overseas gilt based mutual fund). I am specifically mentioning gilt here as they are government backed (of the overseas location) and have very low risk. Best would be to scout out for strong fund houses that have mutual funds that invest in overseas gilts, preferably of the emerging markets (as the interest is higher). The good fund houses manage the currency volatility and can generate decent returns at fairly low risk.",11,143
"I have $100,000 in play money… what to do?","As you have already good on your retirement kitty. Assuming you have a sufficient cash for difficult situations, explore the options of investing in Shares and Mutual Funds. As you are new to Stock Market, begin slowly by investing into Mutual Funds and ETF for precious metals. This will help you understand and give you confidence on markets and returns. Real estate is a good option, the down side being the hassle of getting rental and the illiquid nature of the investment.",11,91
"Saving $1,000+ per month…what should I do with it?","Since you already have an emergency fund in place, focus your extra funds on paying off debts like student loans. While some have advised you to play the stock market, not one person has mentioned the word ""risk"". You are gambling (""investing"") your money in the hopes your money will grow. Your student loan is real liability. The longer you keep the loan, the more interest you will pay. You can pay off your student loan in 21 months if you pay $1,100 each month. After the 21 months, you can almost fully fund a 401(k) each year. That will be amazing at your age. Our company gives us the Vanguard Retirement Fund with a low expense ratio of 0.19%. It is passive automated investing where you don't have to think about it. Just add money and just let it ride.",11,150
Capital gains on no-dividend stocks - a theoretical question,"Stock prices are set by the market - supply and demand. See Apple for example, which is exactly the company you described: tons of earnings, zero dividends. The stock price goes up and down depending on what happens with the company and how investors feel about it, and it can happen that the total value of the outstanding stock shares will be less than the value of the underlying assets of the company (including the cash resulted from the retained earnings). It can happen, also, that if the investors feel that the stock is not going to appreciate significantly, they will vote to distribute dividends. Its not the company's decision, its the board's. The board is appointed by the shareholders, which is exactly why the voting rights are important.",11,138
Should I use put extra money toward paying off my student loans or investing in an index fund?,"Not all debt is bad. If it carries a reasonable interest rate, you don't need to clear it immediately. As for investing in an index fund, they're an affordable, easy way to spread your money over various assets. However, asset allocation is just one of many investment strategies. Ideally, you want to invest according to your goals, tax situation, and risk tolerance. You want a portfolio that dynamically allocates to various investment strategies, both beta and alpha, according to changing market conditions. Most importantly, you want systematic risk management for every aspect of your investments.",11,113
"Using stable short-term, tax-free municipal bond funds to beat the bank?","Banks' savings interest is ridiculous, has always been, compared to other investment options. But there's a reason for that: its safe. You will get your money back, and the interest on it, as long as you're within the FDIC insurance limits. If you want to get more returns - you've got to take more risks. For example, that a locality you're borrowing money to will default. Has happened before, a whole county defaulted. But if you understand the risks - your calculations are correct.",11,95
Investing thought experiment,"The market cap always reflect the company's equity.  Except that you cannot fix a stock price in a free market.  A company with such profit pattern would have stock price behave like present value of a perpetuity (future income stream discounted by risk free rate) Since your assumption is unachievable, there is no point in determining the logic.",11,61
What are 'business fundamentals'?,"From http://financial-dictionary.thefreedictionary.com/Business+Fundamentals The facts that affect a company's   underlying value. Examples of business   fundamentals include debt, cash flow,   supply of and demand for the company's   products, and so forth. For instance,   if a company does not have a   sufficient supply of products, it will   fail. Likewise, demand for the product   must remain at a certain level in   order for it to be successful. Strong   business fundamentals are considered   essential for long-term success and   stability. See also: Value Investing,   Fundamental Analysis. For a stock the basic fundamentals are the second column of numbers you see on the google finance summary page,  P/E ratio, div/yeild, EPS, shares, beta.   For the company itself it's generally the stuff on the 'financials' link  (e.g. things in the quarterly and annual report,  debt, liabilities, assets, earnings, profit etc.",11,136
Should I exclude bonds from our retirement investment portfolio if our time horizon is still long enough?,"Having cash and bonds in your portfolio isn't just about balancing out the risk and volatility inherent in equities. Consider: If you are 100% invested in equities and the market declines by 30%, you'll be hard pressed to come up with additional money to ""buy low"". You'll miss out on the rebalancing bonus. But, if you make a point of keeping some portion of your portfolio in cash and bonds, then when the market has such a decline (and it will), you'll be able to rebalance your portfolio back to target weights — i.e. redeploy some of your cash and bonds into equities to take advantage of the lower prices.",11,127
Can a Roth IRA be used as a savings account?,"Sounds like a bad idea. The IRA is built on the power of compounding. Removing contributions will hurt your retirement savings, and you will never be able to make that up. Instead, consider tax-free investments. State bonds, Federal bonds, municipal bonds, etc. For example, I invest in California muni bonds fund which gives me ~3-4% annual dividend income - completely tax free. In addition - there's capital appreciation of your fund holdings. There are risks, of course, for example rate changes will affect yields and capital appreciation, so consult with someone knowledgeable in this area (or ask another question here, for the basics). This will give you the same result as you're expecting from your Roth IRA trick, without damaging your retirement savings potential.",11,134
Why would a mutual fund plummet on the same day it pays its annual distribution & capital gains? [duplicate],"The price of a share of a mutual fund is its Net Asset Value (nav). Before the payout of dividends and capital gain distribution, the fund was holding both stock shares and cash that resulted from dividends and capital gains. After the payout, a share only holds the stock. Therefore once the cash is paid out the NAV must drop by the same amount as was paid out per share. Thus of course assumes no other activity or valuation changes of the underlying assets. Regular market activity will obscure what the payout does to the NAV.",11,115
Are long-term bonds risky assets?,"In truth there is no such thing as a risk-free asset.  That is why your textbook feels the need to add the qualifier ""for practical purposes,"" meaning that the risk of a money market account is so much lower than virtually any other asset class that it can reasonably be approximated as risk free. The main risk of any bond, short-term or long-term, is that its price may change before the maturity date.  This could happen for one of many reasons, such as interest rate changes, creditworthiness, market risk tolerance, and so on.  Thus you may lose money if you need to redeem your investment ahead of the scheduled maturity.",11,115
Index ETF or Index mutual fund - standard brokerage account,"The ETF is likely better in this case. The ETF will generally generate less capital gains taxes along the way.  In order to pay off investors who leave a mutual fund, the manager will have to sell the fund's assets.  This creates a capital gain, which must be distributed to shareholders at the end of the year.  The mutual fund holder is essentially taxed on this turnover.  The ETF does not have to sell any stock when an investor sells his shares because the investor sells the shares himself on the open market.  This will result in a capital gain for the specific person exiting his position, but it does not create a taxable event for anyone else holding the ETF shares.",11,132
What's the appeal of dividends in investing? [duplicate],"A dividend is one method of returning value to shareholders, some companies pay richer dividends than others; some companies don't typically pay a dividend.  Understand that shareholders are owners of a company.  When you buy a stock you now own a portion (albeit an extremely small portion) of that company. It is up to you to determine whether holding stock in a company is worth the risk inherent to equity investing over simply holding treasury notes or some other comparable no risk investment like bank savings or CDs.   Investing isn't really intended to change your current life.  A common phrase is ""investing in tomorrow.""  It's about holding on to money so you'll have it for tomorrow.  It's about putting your money to work for you today, so you'll have it tomorrow.  It's all about the future, not your current life.",11,148
How is investing in stock markets different from investing in mutual funds?,"Investing in stock markets involves purchasing shares of an individual company whereas investing in mutual funds involves pooling money from a group of different investors to purchase stocks, bonds, or other investments in a diversified portfolio of assets. Additionally, stock investing is usually more volatile and offers the potential for bigger gains or losses, whereas mutual fund investing is usually less volatile and offers the potential for more consistent returns.",11,82
What is a bond fund?,"As Michael Pryor answered, a bond fund is a mutual fund that invests in bonds. I'd also consider an ETF based on bonds to be a bond fund, but I'm not sure that all investors would consider these as ""bond funds"". Not all bond funds are the same -- just like stock funds. You can classify bond funds based on the issuer of the bonds: You can also classify funds based on the time to maturity: In general, bond funds have lower risk and lower expected return than stock funds. Sometimes bond funds have price movements that are not tightly correlated to the price movements in the equity markets. This can make them a decent hedge against declines in your equity investments. See Michal Pryor's answer for some info on how you can get tax free treatment for your bond fund investments.",11,147
Why is the stock market price for a share always higher than the earnings per share?,"Earnings per share are not directly correlated to share price. NV Energy, the company you cited as an example, is an electric utility. The growth patterns and characteristics of utilities are well-defined, so generally speaking the value of the stock is driven by the quality of the company's cash flow. A utility with a good history of dividend increases, a dividend that is appropriate given the company's fiscal condition, (ie. A dividend that is not more than 80% of earnings) and a good outlook will be priced competitively. For other types of companies cash flow or even profits do not matter -- the prospects of future earnings matter. If a growth stock (say Netflix as an example) misses its growth projections for a quarter, the stock value will be punished.",11,146
Trading large volumes with penny profits per share,"Currently my online savings account pays an interest rate of 1.25%.  With 100K, I can earn about $104 per month in that account.  No risk, no timing, no fuss. So in theory you can make money by small changes in the valuations of stock.  However there are often better, risk free options for your money; or, there are much better options for returns with much less risk, but more than that of a bank account.",11,83
Is CFD a viable option for long-term trading?,"Yes it is viable but uncommon. As with everything to do with investment, you have to know what you are doing and must have a plan. I have been successful with long term trading of CFDs for about 4 years now. It is true that the cost of financing to hold positions long term cuts into profits but so do the spreads when you trade frequently. What I have found works well for me is maintaining a portfolio that is low volatility, (e.g. picking a mix of positions that are negatively correlated) has a good sharpe ratio, sound fundamentals (i.e. co-integrated assets - or at least fairly stable correlations) then leveraging a modest amount.",11,122
Does bull/bear market actually make a difference?,"The main difference between a bull market and a bear market is due the ""the leverage effect"". http://www.princeton.edu/~yacine/leverage.pdf The leverage effect refers to the observed tendency of an asset’s   volatility to be negatively correlated with the asset’s returns.   Typically, rising asset prices are accompanied by declining   volatility, and vice versa. The term “leverage” refers to one possible   economic interpretation of this phenomenon, developed in Black (1976)   and Christie (1982): as asset prices decline, companies become   mechanically more leveraged since the relative value of their debt   rises relative to that of their equity. As a result, it is natural to   expect that their stock becomes riskier, hence more volatile. More volatile assets in a bear market are not such good investments as less volatile assets in a bull market.",11,135
Explain why the Stock Market crashed in 1929.,"The Stock Market crash of 1929 was caused by a combination of economic and political factors. On the economic side, stock prices had become overvalued due to excessive speculation and margin buying. On the political side, there were a number of events leading up to the crash, including the passage of the Smoot-Hawley Tariff, which raised tariffs on imported goods and caused significant harm to international trade. Additionally, the Federal Reserve had been increasing interest rates, which caused a decrease in consumer spending, leading to an overall decrease in economic activity. Finally, when the U.S. government failed to prop up the stock market by investing in U.S. Treasury bonds, it sent a signal to investors that the market was weakening and selling off, resulting in the crash.",11,135
"If a stock doesn't pay dividends, then why is the stock worth anything?","Since I'm missing the shortest and simplest answer, I'll add it: A car also doesn't offer dividends, yet it's still worth money. A $100 bill doesn't offer dividends, yet people are willing to offer services, or goods, or other currencies, to own that $100 bill. It's the same with a stock. If other people are willing to buy it off you for a price X, it's worth at least close to price X to you. In theory the price X depends on the value of the assets of the company, including unknown values like expected future profits or losses. Speaking from experience as a trader, in practice it's very often really just price X because others pay price X.",11,132
When should I start saving/investing for my retirement?,"Here's a good strategy: Open up a Roth IRA at a discount-broker, like TD Ameritrade, invest in no-fee ETF's, tracking an Index, with very low expense ratios (look for around .15%) This way, you won't pay brokers fees whenever you buy shares, and shares are cheap enough to buy casually. This is a good way to start. When you learn more about the market, you can check out individual stocks, exploring different market sectors, etc. But you won't regret starting with a good index fund. Also, it's easy to know how well you did. Just listen on the radio or online for how the Dow or S&P did that day/month/year. Your account will mirror these changes!",11,124
Is the stock market too risky for long term retirement funds? Why should a 20- or 30-something person invest in stocks?,"Look. Here's a graph of the S&P 500. It's up 1200% since the start of the 70's, our late recession notwithstanding. You're not going to get that kind of return on bonds or commodities or savings accounts. (Maybe real estate stands a chance, if your real estate wasn't in, say, Detroit. It's not as easy to diversify real estate...) People in their 20's who have plenty of time before they need to spend their retirement money invest in the stock market exactly because they're long-term and can withstand these dips just by waiting them out, and earn a ton of money. People approaching their 60's transition their portfolio to bonds so that a market crash won't wipe them out.",11,140
Should I change 401k investment options to prepare for rising interest rates?,"The bond funds should tell you their duration. My 401(k) has similar choices, and right now, I'm at the short maturity, i.e. under 1 year. The current return is awful, but better than the drop the longer term funds will experience as rates come back up.  Not quite mathematically correct, but close enough, ""duration"" gives you the time-weighted average maturity in a way that tells you how the value responds to a rate change. If a fund has a 10 year duration, a .1% rate rise will cause the fund value to drop 1.0%.",11,106
Cashing in stocks for house downpayment,"I'm not sure where people keep getting this idea, but I see it come up a lot. Anyway, you pay capital gains taxes when you sell an investment that has appreciated. It makes no difference when/if you reinvest the money or what you invest it in. If you are afraid of the tax burden you can minimize it by: 1) Selling a stock that you have held longer than a year to get the lower long-term rate. 2) Sell a stock that hasn't appreciated that much and therefore doesn't have a lot of gains to tax. 3) Sell a stock that's below purchase price (i.e. at a loss) to offset any short term gains.",11,120
Dividend yeild per unit,"$36 dividend/900 DJIA = 4% 5.5% bond yield = ($36 dividend/660 DJIA) Graham wrote this at a very different time in financial markets- interest rates were much higher, and the DJIA much lower. In addition, bonds were yielding more than stocks, unlike today when the DJIA % the 10yr Treasury yield 2.63% and 2.13% respectively. In addition, his ""weigher of the odds"" suggests waiting to invest until equity prices are lower (usually dividends aren't reduced), and therefore the DJIA dividend yield would rise relative to bond yields.",11,91
What are the implications of a corporate stock repurchase or share buyback program?,"The future shares will be fewer in number, yet have claim to less cash in the bank. All in all, there's little reason the shares would rise in value.  Say there are 1M shares, trading at $10. Market cap is $10M of course. Now, there happens to be $2M cash in the bank so each share had about $2 cash. By taking the $2M and buying 200K shares, 800K shares remain, but why would you think they'd be valued at $12.50? The same $10 value per share is now an $8M market cap as $2M has been disbursed, no less so than if it were given out in a dividend.",10,123
"What is my next step with investing, given a signing bonus of restricted stock units?","Coincidentally just read a nice post on this topic: http://thefinancebuff.com/no-tax-advantage-in-rsu.html In short, sell the stock as soon as it vests and treat it as a cash bonus. Assuming you're in the US and the stock is possible to sell (public company, no trading window restrictions, you have no material nonpublic information, etc.)  What do you do with a cash bonus? If you have no savings, an emergency fund would be good, then start on retirement savings perhaps... it sounds a bit like you could use some broad general financial planning info, my favorite book for that is: http://www.amazon.com/Smart-Simple-Financial-Strategies-People/dp/B0013L2ED6 One exception to selling immediately could be if the company stock is hugely undervalued, but it probably isn't, and it's probably too hard to determine.",10,138
Investment for beginners in the United Kingdom,"Before jumping into stock trading, do try Mutual Funds and Index funds, That should give you some good overview of the equity markets. Further, do read up on building a balanced portfolio to suit your need and risk apetite. This would help you decide on Govt. bonds and other debt instruments.",10,58
"I have $12k in a Chase checking account, but want to start earning interest/saving/investing/etc to make more money. What should I do?","First thing's first: migrate your savings to an interest-bearing savings account (such as from Ally Bank). While it still lags behind inflation, 0.84% is still better than 0.00%. Short-term CDs are also an option. I've personally thought about experimenting with peer-to-peer lending, but a few thousand in savings isn't all that much in the grand scheme of things, and you don't want it tied up in a risky, speculative loan when you might need it the most. As the others have said, the general savings rules apply too: pay off high-interest debt, divert more money into your 401k (especially if you aren't hitting the match yet), then work on either whittling down other debts or saving more for a big purchase in the future.",10,146
What could cause a stock to trade below book value?,"The key to evaluating book value is return on equity (ROE). That's net profit divided by book value.  The ""value"" of book value is measured by the company's ROE (the higher the better). If the stock is selling below book value, the company's assets aren't earning enough to satisfy most investors. Would you buy a CD that was paying, say two percentage points below the going rate for 100 cents on the dollar? Probably not. You might be willing to buy it only by paying 2% less per year, say 98 cents on the dollar for a one year CD. The two cent discount from ""book value"" is your compensation for a low ""interest"" rate.",10,125
Purchase same stock twice,"Investors purchase additional shares all the time. Every investor that adds money to their investments does this every paycheck or every month. Investors do this every time they reinvest dividends, interest or capital gains. They also buy and sell shares when they decide to rebalance their portfolio.  Whether you are investing via a broker, mutual fund or ETF the investment company can handle this issue. You do want to know how they want you to specify which shares you want them to sell. The laws in your country may specify a default procedure, or what needs to be done if you want to use another procedure, or if you are allowed to change once you have specified a procedure.",10,123
How are stock buybacks not considered insider trading?,"Buybacks do not increase the company's value. Cash is traded for outstanding shares. This is similar to a dividend, but instead of cash, investors receive a rising share-price. Whether an investor prefers a cash dividend or capital gains is less important than the outcome that their investment is gaining value for them.",10,60
Why I cannot find a “Pure Cash” option in 401k investments?,"Your employer decides what options you have in the 401k. You can talk to your HR about that. There are requirements for diversity of various types of investments, money-market funds is being one of them. That is the investment account equivalent of cash. While it is not really cash but rather short term bonds - the term is generally very short and the risk is very limited. You can't earn much there, and you can't lose much there - so for all intents and purposes you can treat is as a cash-equivalent.",10,103
What's the smartest way to invest money gifted to a child?,"I was in a similar situation with my now 6 year old.  So I'll share what I chose.  Like you, I was already funding a 529. So I opened a custodial brokerage account with Fidelity and chose to invest in very low expense index fund ETFs which are sponsored by Fidelity, so there are no commissions.  The index funds have a low turnover as well, so they tend to be minimal on capital gains. As mentioned in the other answer, CDs aren't paying anything right now.  And given your long time to grow, investing in the stock market is a decent bet. However, I would steer clear of any insurance products.  They tend to be heavy on fees and low on returns.  Insurance is for insuring something not for investing.",10,141
What prevents investors from buying high yield stocks and selling them as soon as their dividend is paid out?,"The ex-dividend date, prevents this, but people are still able to do this and this is an investment strategy. There are some illiquid and immature markets where prices don't adjust.  In the options market people are able to find mispriced deep in the money calls to take advantage of the ex-dividend date. It is called dividend capture using covered calls.",10,79
Long term drip (dividend reinvestment plan) stock,There are ETFs and mutual funds that pay dividends. Mutual funds and ETFs are quite similar. Your advisor is correct regarding future funds you invest. But you already had incurred the risk of buying an individual stock. That is a 'sunk cost'. If you were satisfied with the returns you could have retained the HD stock you already owned and just put future moneys into an ETF or mutual fund.  BTW: does your advisor receive a commission from your purchase of a mutual fund? That may have been his motivation to give you the advice to sell your existing holdings.,10,107
Reducing taxable income in US in December,"Depending on the size of the donation, you may be able to reduce taxes further by donating appreciated assets, such as stock or fund shares that have gone up a lot. That lets you dodge the capital gains tax on redeeming the shares, and if you're donating to a tax-exempt organization they don't have to pay that tax either.  And as @JoeTaxpayer has confirmed, you still get to deduct the current value of the donation, not just the basis value of those shares. So if you're donating anyway, this comes close to being Free Money in exchange for some slightly annoying paperwork. (Yet another benefit of long-term investing!) Of course folks in the top brackets sometimes set up their own tax-exempt foundations so they can decouple taking the tax break from deciding what to do with the donation.",10,145
Micro-investing: How to effectively invest frequent small amounts of money in equities?,"Compound interest is your friend. For such a low amount of cash, just pop it into savings accounts or deposits. When you reach about 1.500€ buy one very defensive stock that pays high dividends. With deposits, you don't risk anything, with one stock, you can lose 100% of the investment. That's why it's important to buy defensive stock (food, pharma, ...). Every time you hit 1.500€ after, buy another stock until you have about 10 different stock in different sectors, in different countries. Then buy more stock of the ones you have in portfolio. You're own strategy is pretty good also.",10,113
Does longterm investment in index funds still make sense in a reality of massive algotrading?,"Why wouldn't you expect a long-term profit?  Say you buy 100 shares of company X, selling for$1/share today.  You hold it for 20 years, after which it's worth $10/share (in inflation-adjusted dollars).  So you've made a profit, only making two trades (buy & sell).  What the algorithmic traders have done with short-term trades during those 20 years is irrelevant to you. Now expand the idea.  You want some diversification, so instead of one stock, you buy a bit of all the stocks on whatever index interests you, and you just hold them for the same 20 years.  How has what the short-term traders done in the intervening time affected you?",10,125
What is the tax rate for selling stocks?,"Assuming that taxes were withheld when you received the options, you would now only owe tax on the profit from the sale of the stock.  The cost basis would be whatever you bought the stock for (the strike price of the options in this case), and the profit will be the total amount received from the sale minus the total cost of those shares. Since you bought the stock more than one year ago, you will get taxed at the long-term capital gains rate of 15% (unless you are in the 39.6% tax bracket, in which case the rate is 20%). As with all tax advice on this site, you need to check with a tax specialist when you actually file, but that should give you a rough indication of what your tax liability is.",10,143
Suppose you are a financial analyst. Create a report that evaluates the current market conditions.,"This report evaluates the current market conditions and provides an assessment of the overall economic climate. Currently, the market environment is characterized by increased volatility and uncertainty as news related to regional and global political developments, trade tensions, and global economic growth drive stock prices. The S&P 500 Index has declined since the start of the month, with investors taking a cautious approach as they navigate through this uncertain time. The US 10-year Treasury yield is currently near its lowest level since June, and the US dollar has weakened relative to other global currencies. These conditions have affected the movement of commodities, with gold up and oil down. Overall, it appears that rising geopolitical risk and market volatility is driving an investor shift towards safety in bonds and commodities.",10,144
Could there be an interest for a company to make their Share price fall?,"Are you really talking about share price, or share value? Because what about stock splits? Market Cap stays the same, but the price per share is lowered. This is so that the stock is more liquid and accessible to a greater number of investors. This encourages people to invest in the stock though. I can't really think of any reasons why a company would want to lower their share value or discourage people from investing unless they are trying to reacquire shares. Returning value to the shareholders is the #1 priority of any publicly traded company.",10,110
Make a list of 20 macroeconomic indicators.,"List of 20 Macroeconomic Indicators: 

1. Gross domestic product (GDP) 
2. Unemployment rate 
3. Inflation rate 
4. Interest rate 
5. Balance of payments 
6. National debt 
7. Money supply 
8. Consumer price index 
9. Currency exchange rate 
10. Business cycle 
11. Housing prices 
12. Government spending 
13. Tax revenue 
14. Savings rate 
15. Capital investments 
16. Manufacturing production 
17. Commodity prices 
18. Construction activity 
19. Productivity rate",10,74
What are the tax implications of earnings from the stock market (BSE)?,"If you have held the stocks longer than a year, then there is no tax apart from the STT that is already deducted when you sell the shares.  If you have held the stock for less than a year, you would have to pay short term capital gains at the rate of 15% on the profit. Edit: If you buy different shares from the total amount or profits, it makes no difference to taxes.",10,86
How to calculate stock price (value) based on given values for equity and debt?,"I'll give you my quick and dirty way to value a company: A quick and dirty valuation could be: equity + 10 times profit. This quick way protects you from investing in companies in debt, or losing money. To go more in-depth you need to assess future profit, etc. I recommend the book from Mary Buffett about Warren Buffett's investing style.",10,75
